Distance_m,Direction_deg
481.2902763880448,185.09289961300755
386.92666072744566,186.15398640035366
115.19124335676396,108.2524312311856
39.72779935868074,172.6082821205178
1286.3910723946844,129.75171641476237
932.4092791422861,115.22386091811603
1361.8401076915227,171.6888490784291
441.0892800442869,353.955677385052
150.8664385210365,182.14323675751868
862.6160870557709,144.52171565885706
165.48257956378615,335.0490203870089
23.234505374844403,106.38202644940095
158.51048218187734,181.91568149832742
1673.246441866027,119.25718861079372
210.25911818974595,199.78010170803054
123.91403043970287,33.112129054378215
205.64320731398823,156.37268292973
439.6333775443746,333.0112305786062
115.64450431437133,25.018343054785134
65.6701842767377,248.9938998651499
32.250341539150625,36.257952326304775
133.45449826166225,324.2871044808744
138.77275868381872,49.06597603282296
63.32250105043762,177.77926719688332
27.657833343793584,324.82724300435996
85.09320088287096,121.74965954840242
209.4325039129331,310.44654895213864
21.414592030781698,67.46552505516466
8.645644372673358,231.29410878177467
